,Nameresto,Arrondissement,Categories,Tagline,Timelunch,price,adress,zipcode,Telephone,photos,Arr,Nameresto1
11,Bill The Butcher,2ème,"design, fast-good, insolite, world",Notre boucher préféré,Midi & Soir,10.5,11 Rue du 4 Septembre,75002,Na,https://www.lespetitestables.com/wp-content/uploads/Bill-The-Butcher-Les-Petites-Tables-focus-boulettes-970x647.jpg,2,Bill The Butcher
12,Pokawa,2ème,"fast-good, insolite, world",Embarquement direction Hawaï,Midi & Soir,12.9,36 rue poissonnière,75002,Na,https://www.lespetitestables.com/wp-content/uploads/Pokawa-Les-Petites-Tables-Poke-Ball-970x728.jpg,2,Pokawa
13,Menekse,11ème,"insolite, world",Ceci n’est pas un kebab,Midi & Soir,13.0,7 passage de la main d’or,75011,0140218481,https://www.lespetitestables.com/wp-content/uploads/Menekse-restaurant-kurde-plat-aubergines-2-970x647.jpg,11,Menekse
14,Les Marmites Volantes,19ème,"fast-good, insolite",Le déjeuner bio et de saison,Midi,10.0,"69 rue Armand Carrel,",75019,Na,https://www.lespetitestables.com/wp-content/uploads/Les-Marmites-Volantes-Les-Petites-Tables-Salle-2-970x647.jpg,19,Les Marmites Volantes
15,ONI Coffee Shop,10ème,"design, fast-good, romantique, world",Coffee shop et cuisine maison,Midi,12.0,"10 boulevard Saint-Martin,",75010,Na,https://www.lespetitestables.com/wp-content/uploads/ONI-Coffee-Shop-ambiance-970x647.jpg,10,ONI Coffee Shop
16,Karaage-ya,2ème,"fast-good, insolite, world",Le poulet frit pas comme ici ,Midi & Soir,12.0,6 Rue Feydeau,75002,Na,https://www.lespetitestables.com/wp-content/uploads/Karaage-Ya-Les-Petites-Tables-devanture-970x647.jpg,2,Karaage-ya
17,Bricktop Pizza,10ème,"fast-good, world",Le Temple du pizzanisme,Midi & Soir,8.5,153 Quai de Valmy,75010,0967446071,https://www.lespetitestables.com/wp-content/uploads/bricktop_pizza-comptoir-970x647.jpg,10,Bricktop Pizza
18,As Rare,10ème,"insolite, world",Le comptoir libanais secret,Midi,10.5,85B Boulevard de Magenta,75010,Na,https://www.lespetitestables.com/wp-content/uploads/As-Rare-Les-Petites-Tables-devanture-970x647.jpg,10,As Rare
19,Léandrés,9ème,"design, world",Le café où se sentir (colom)bien,Midi & Soir,9.5,78 Rue de Maubeuge,75009,0986795729,https://www.lespetitestables.com/wp-content/uploads/Leandres_les_petites_tables-empanadas-970x647.jpg,9,Léandrés
20,Braun Notes,9ème,"design, world",Le coffee shop venu de Berlin,Midi,12.0,31-33 Rue de Mogador,75009,Na,https://www.lespetitestables.com/wp-content/uploads/BRAUN-NOTES-Salade-de-falafel-et-banana-bread-cake-970x647.jpg,9,Braun Notes
21,Coriandre,14ème,"design, insolite, world",Quand curry rime avec cosy,Midi & Soir,9.99,104 rue de l’Ouest,75014,Na,https://www.lespetitestables.com/wp-content/uploads/Coriandre-Devanture-970x728.jpg,14,Coriandre
22,Happa Teï,2ème,"insolite, world",Petit jap’ pour gros coup de coeur,Midi & Soir,8.0,64 Rue Sainte-Anne,75002,0142966040,https://www.lespetitestables.com/wp-content/uploads/Happa-Tei-Les-Petites-Tables-takoyaki--970x647.jpg,2,Happa Teï
23,Isana,9ème,world,Le meilleur de l’Amérique latine,Midi,12.0,"7 rue Bourdaloue,",75009,0142451872,https://www.lespetitestables.com/wp-content/uploads/Isana-Paris-Les-Petites-Tables-barbacao-de-boeuf-braise-970x647.jpg,9,Isana
24,C’real,10ème,"fast-good, insolite",Des céréales en vrac,Midi,9.0,28 rue d’Hauteville,75010,0605329561,https://www.lespetitestables.com/wp-content/uploads/C-Real-Les-Petites-Tables-devanture-970x647.jpg,10,C’real
25,La Bossue,18ème,"insolite, romantique",Le salon de thé comme chez mémé,Midi,9.5,9 rue Joseph de Maistre,75018,0981726559,https://www.lespetitestables.com/wp-content/uploads/La-Bossue-Les-Petites-Tables-devanture-970x647.jpg,18,La Bossue
26,Rice Trotters,2ème,"design, world",50 nuances de riz,Midi,12.9,16 rue Saint-Augustin,75002,Na,https://www.lespetitestables.com/wp-content/uploads/Rice-Trotters-Les-Petites-Tables-details-970x647.jpg,2,Rice Trotters
27,Alma the chimney cake factory,3ème,"design, insolite, world",La brioche à la broche,Midi,9.0,59 boulevard Beaumarchais,75003,0966845734,https://www.lespetitestables.com/wp-content/uploads/Alma-The-Factory-Les-Petites-Tables-formule-3-970x647.jpg,3,Alma the chimney cake factory
28,So Nat,9ème,"design, fast-good, world", Le temple du buddha bowl bio!,Midi,9.0,5 rue Bourdaloue,75009,0177189652,https://www.lespetitestables.com/wp-content/uploads/So-Nat-Les-Petites-Tables-formule-dej-970x647.jpg,9,So Nat
29,Ducky’s Asian Street Food,6ème,"fast-good, insolite, world",Le burger venu d'ailleurs,Midi & Soir,9.9,157 Boulevard du Montparnasse,75006,0142391572,https://www.lespetitestables.com/wp-content/uploads/Ducky-s-Les-Petites-Tables-zoom-970x647.jpg,6,Ducky’s Asian Street Food
30,Banoi,11ème,"design, world",Des spring rolls de compet',Midi & Soir,9.4,129 Rue Amelot,75011,0171934875,https://www.lespetitestables.com/wp-content/uploads/Banoi-Les-Petites-Tables-salle-en-bois-970x647.jpg,11,Banoi
31,Hokkaido,2ème,"design, world",Le Japonais sans sushis,Midi & Soir,10.0,"14 Rue Chabanais, 75002 Paris",75002,0142605095,https://www.lespetitestables.com/wp-content/uploads/Ramen-Hokkaido-Les-Petites-Tables-970x647.jpg,2,Hokkaido
32,Elaichi Vegetarian Street Food,10ème,"design, insolite, world",Un resto indien étonnant !,Midi & Soir,10.5,"7, rue du Faubourg Saint-Martin",75010,Na,https://www.lespetitestables.com/wp-content/uploads/Elaichi-Vegetarian-Street-Food-Les-Petites-Tables-Menu-complet-Namaste-970x728.jpg,10,Elaichi Vegetarian Street Food
33,Cantine Le Myrha,18ème,"fast-good, insolite",Une cantine 100% bio,Midi & Soir,10.0,70 rue Myrha,75018,0973217843,https://www.lespetitestables.com/wp-content/uploads/Le-Myrah-repas-Les-Petites-Tables-970x647.jpg,18,Cantine Le Myrha
34,Ensuite,1er,"fast-good, insolite, world",Cure de vitamines !,Midi,9.9,27 rue Des Petits Champs,75001,0171324907,https://www.lespetitestables.com/wp-content/uploads/Ensuite-Les-Petites-Tables-formule-dejeuner-970x647.jpg,1,Ensuite
35,Café Nata,9ème,"insolite, world",Le micro-resto portugais,Midi,10.0,69 rue de Provence,75009,0632937102,https://www.lespetitestables.com/wp-content/uploads/cafe-nata-azulejo.jpg,9,Café Nata
36,Cerido,10ème,"design, world",Le meilleur risotto de Paris ?,Midi,10.0,27 rue de Lancry,75010,0143388017,https://www.lespetitestables.com/wp-content/uploads/Cerido-devanture-970x647.jpg,10,Cerido
37,La Petite Cuisine de Sandrine,13ème,tradi,,Midi,9.5,89 bis rue du Dessous des Berges,75013,Na,https://www.lespetitestables.com/wp-content/uploads/La-Petite-Cuisine-de-Sandrine-devanture-970x647.jpg,13,La Petite Cuisine de Sandrine
38,At Homs’,10ème,"design, world",Orient express,Midi & Soir,10.0,48 avenue Claude Vellefaux,75010,0768672777,https://www.lespetitestables.com/wp-content/uploads/At-Homs-Les-Petites-Tables-plat1-970x647.jpg,10,At Homs’
39,Cafézoïde,19ème,"insolite, world",Un café-concept ludique !,Midi,8.0,92 bis quai de la Loire,75019,0142382637,https://www.lespetitestables.com/wp-content/uploads/Cafezoide-Les-Petites-Tables-plat-970x647.jpg,19,Cafézoïde
40,Guo Xin,19ème,world,Orgie de raviolis !,Midi & Soir,9.5,47 rue de Belleville,75019,0142381753,https://www.lespetitestables.com/wp-content/uploads/Guo-Xin-les-petites-tables-aubergine-sautees-970x647.jpg,19,Guo Xin
41,Toto,9ème,world,Un Italien meilleur qu'au pays !,Midi,8.8,35 Rue Godot de Mauroy,75009,0142652151,https://www.lespetitestables.com/wp-content/uploads/details-salle-chez-toto-970x647.jpg,9,Toto
42,Le Milton,9ème,design,Déjeunez dans un bar à cocktails,Midi,9.5,46 Rue Lamartine,75009,0145266220,https://www.lespetitestables.com/wp-content/uploads/Milton-les-petites-tables-devanture.jpg,9,Le Milton
43,Les Anges Gourmands,9ème,"insolite, tradi",Le resto planqué,Midi,10.0,12 Rue de Rochechouart,75009,0148782883,https://www.lespetitestables.com/wp-content/uploads/les-anges-gourmands-patron-970x647.jpg,9,Les Anges Gourmands
44,La Rizière,19ème,fast-good,L'Africain qui dépote !,Midi & Soir,10.0,38 rue de Lorraine,75019,0142858962,https://www.lespetitestables.com/wp-content/uploads/La-riziere-facade.jpg,19,La Rizière
45,La Lingerie,14ème,insolite,Le resto planqué à l'hosto,Midi,10.0,Café « Les Grands Voisins » ,75014,0783762100,https://www.lespetitestables.com/wp-content/uploads/les-grands-voisins-plat.jpg,14,La Lingerie
46,Chez Foucher,18ème,"fast-good, tradi",La pétillante fratrie,Midi,9.5,118 rue des poissonniers,75018,0954331666,https://www.lespetitestables.com/wp-content/uploads/Chez-Foucher-plat-970x647.jpg,18,Chez Foucher
47,Le Pain Vendôme,3ème,world,Le repaire de Fatima,Midi,10.0,16 Passage Vendôme,75003,0144593686,https://www.lespetitestables.com/wp-content/uploads/Le-Pain-Vendome-couscous-970x647.jpg,3,Le Pain Vendôme
48,Bül,9ème,"design, fast-good",Le resto anti grisaille !,Midi,10.0,20 avenue Trudaine,75009,0140160274,https://www.lespetitestables.com/wp-content/uploads/Bul-Bar-A-Cannes-Les-Petites-Tables-plat-1.jpg,9,Bül
49,Chez Moon,16ème,tradi,Déjeunez chez mamie,Midi,10.0,8 rue du buis,75016,0984325854,https://www.lespetitestables.com/wp-content/uploads/Chez-moon-plat-saumon.jpg,16,Chez Moon
50,Gumbo Yaya,10ème,"fast-good, insolite, world",Un burger à la gaufre,Soir,10.0,3 rue charles robin,75010,0984154088,https://www.lespetitestables.com/wp-content/uploads/gumbo-yaya-devanture.jpg,10,Gumbo Yaya
51,Amo,15ème,world,Le Coréen des esthètes,Midi,10.0,8 rue du hameau,75015,0142503293,https://www.lespetitestables.com/wp-content/uploads/Amo-menu-970x647.jpg,15,Amo
52,La Petite Crêperie,13ème,"fast-good, insolite",Le resto antidépresseur,Midi & Soir,10.0,85 rue Albert,75013,0980638099,https://www.lespetitestables.com/wp-content/uploads/La-petite-creperie-junior-970x647.jpg,13,La Petite Crêperie
53,Les Fondus de La Raclette,18ème,"insolite, tradi",Un chalet parisien !,Midi & Soir,10.0,19 Rue Joseph Dijon,75018,0142583422,https://www.lespetitestables.com/wp-content/uploads/les-fondus-de-la-raclette-les-petites-tables-menu.jpg,18,Les Fondus de La Raclette
54,Little Bakery,9ème,fast-good,Une dinette équilibrée,Midi,10.0,34 rue Condorcet,75009,Na,https://www.lespetitestables.com/wp-content/uploads/Little-Bakery-menu-970x647.jpg,9,Little Bakery
55,Chaly Tov – Sur Le Pouce,16ème,"design, world",Une cantine dans une boucherie,Midi,11.0,31 Rue de l’Amiral Hamelin,75016,0954315488,https://www.lespetitestables.com/wp-content/uploads/Chaly-tov-sur-le-pouce-menu-970x647.jpg,16,Chaly Tov – Sur Le Pouce
56,Sette Pizza,10ème,fast-good,La pizza qui rend dingue,Midi & Soir,9.0,38 Rue du Faubourg Saint-Denis,75010,0950489434,https://www.lespetitestables.com/wp-content/uploads/sette-pizza-les-petites-tables-trio.jpg,10,Sette Pizza
57,Café Jeux associatif Natema,20ème,"insolite, tradi",Le resto - ludothèque,Midi,10.0,39 rue des Orteaux,75020,0143737525,https://www.lespetitestables.com/wp-content/uploads/Cafe-Jeux-Natema-menu-970x647.jpg,20,Café Jeux associatif Natema
58,Rice and Fish,2ème,world,Un menu nippon déjanté,Midi,10.0,16 Rue Greneta,75002,0142366372,https://www.lespetitestables.com/wp-content/uploads/Rice-and-Fish-maki.jpg,2,Rice and Fish
59,La Crème de Paris,9ème,"fast-good, insolite",La meilleure gaufre de Paris,Midi,10.0,"4, rue du Faubourg Montmartre",75009,0148248950,https://www.lespetitestables.com/wp-content/uploads/la-creme-de-paris-devanture.jpg,9,La Crème de Paris
60,STREET Bangkok,10ème,"design, insolite",Un resto VRAIMENT comme à Bangkok !,Midi,10.0,"3, rue Eugène Varlin",75010,0142052251,https://www.lespetitestables.com/wp-content/uploads/street-bangkok-local-food-echaffaudages-970x647.jpg,10,STREET Bangkok
61,Le Troisième Café,3ème,tradi,Le bon plan des fauchés,Midi & Soir,10.0,"16, rue de Beauce",75003,Na,https://www.lespetitestables.com/wp-content/uploads/le-troisieme-cafe-deco2-970x647.jpg,3,Le Troisième Café
62,SweetSpot,5ème,design,Petits plats et pâte à tartiner,Midi,10.0,"108, rue Mouffetard",75005,0981494545,https://www.lespetitestables.com/wp-content/uploads/Sweetspot-deco-970x647.jpg,5,SweetSpot
63,El Mida,11ème,world,Le resto des vacances,Midi & Soir,9.5,"46, boulevard du Temple",75011,0156981239,https://www.lespetitestables.com/wp-content/uploads/El-Mida-facebookOK-970x508.jpg,11,El Mida
64,Le Pavillon des Canaux,19ème,"insolite, romantique",Mangez dans une maison de poupée,Midi & Soir,9.0,"39, quai de la Loire",75019,0173718290,https://www.lespetitestables.com/wp-content/uploads/le-pavillon-des-canaux-chambre-970x647.jpg,19,Le Pavillon des Canaux
65,L’Esprit Tchaï,11ème,world,Le resto qui fait voyager,Midi & Soir,9.9,"115, rue Oberkampf",75011,0614255000,https://www.lespetitestables.com/wp-content/uploads/L-esprit-tchai-equipe-970x647.jpg,11,L’Esprit Tchaï
66,Au Petit Grain de Sel,15ème,world,Un vrai repas d'ambassadeur,Midi & Soir,9.5,57 rue de Vouillé,75015,0782895771,https://www.lespetitestables.com/wp-content/uploads/Au-Petit-Grains-de-sel-baozis.jpg,15,Au Petit Grain de Sel
67,Hank Vegan Burger,3ème,fast-good,Enfin un burger light !,Midi & Soir,8.0,"55, rue des Archives",75003,0972440399,https://www.lespetitestables.com/wp-content/uploads/salle-hunk-burger-veg-les-petites-tables.jpg,3,Hank Vegan Burger
68,Maison Bastille,11ème,"design, fast-good",Un coffee-shop à salades,Midi,9.9,"34 bis, rue Amelot",75011,0158306918,https://www.lespetitestables.com/wp-content/uploads/Maison-Bastille-plateau.jpg,11,Maison Bastille
69,Mexi & Co,5ème,"fast-good, insolite, world",Un resto comme à Mexico !,Midi & Soir,10.0,"10 Rue Dante,",75005,0146341412,https://www.lespetitestables.com/wp-content/uploads/mexi-and-co-entree-les-petites-tables.jpg,5,Mexi & Co
70,PUR etc.,2ème,"design, fast-good, tradi",Déjeuner à la campagne,Midi,9.9,"21, rue des Jeuneurs",75002,0676671544,https://www.lespetitestables.com/wp-content/uploads/PUR-etc-Salle-3-970x647.jpg,2,PUR etc.
71,Oh Africa,10ème,"insolite, world",Le resto qui rafraîchit !,Midi & Soir,10.0,"85 bis, boulevard de Magenta",75010,0658637527,https://www.lespetitestables.com/wp-content/uploads/oh-africa-les-petites-tables-plat.jpg,10,Oh Africa
72,Le Café d’ICI,18ème,"insolite, world",Déjeunez pour 10 € dans un riad caché en plein Paris !,Midi,10.0,"19, rue Léon",75018,0658962952,https://www.lespetitestables.com/wp-content/uploads/le-cafe-d-ici-les-petites-tables-cour-exterieur.jpg,18,Le Café d’ICI
73,Un Monde Gourmand,2ème,world,Le resto qui vous fait voyager,Midi,10.0,"18, rue Poissonnière",75002,0143558330,https://www.lespetitestables.com/wp-content/uploads/Un-monde-gourmand-Sentier-les-petites-tables-plat.jpg,2,Un Monde Gourmand
74,La Guinguette d’Angèle,1er,"fast-good, insolite",Le resto qui n’a qu’une table !,Midi,10.0,34 rue Coquillière,75001,Na,https://www.lespetitestables.com/wp-content/uploads/La-Guinguette-d-angele-les-petites-tables-3.jpg,1,La Guinguette d’Angèle
75,Nossa,5ème,"design, insolite, world",Le meilleur poulet rôti de Paris !,Midi & Soir,10.0,1 rue de l’École Polytechnique,75005,0953679386,https://www.lespetitestables.com/wp-content/uploads/Nossa-les-petites-tables-room.jpg,5,Nossa
76,Le 9ème Ciel,9ème,insolite,Déjeunez dans un art - resto !,Midi,10.0,"67, rue de Rochechouart",75009,0616126270,https://www.lespetitestables.com/wp-content/uploads/antipasti-neuvieme-ciel.jpg,9,Le 9ème Ciel
77,Le burger fermier des enfants rouges,3ème,"fast-good, insolite",Un vrai burger fermier dans un marché,Midi,12.0,"39, rue de Bretagne",75003,Na,https://www.lespetitestables.com/wp-content/uploads/le-burger-fermier-marche-des-enfants-rouge.jpg,3,Le burger fermier des enfants rouges
78,Chefs du quartier,13ème,"insolite, world",Le resto aux mille chefs !,Midi,10.0,12 rue du Jura,75013,0950714778,https://www.lespetitestables.com/wp-content/uploads/Chefs-du-quartier3.jpg,13,Chefs du quartier
79,Steel Cyclewear & Coffeeshop,11ème,"design, insolite",Le premier café cycliste !,Midi,10.0,58 rue de la Fontaine au Roi,75011,Na,https://www.lespetitestables.com/wp-content/uploads/formule-steel-cyclewear-coffeeshop.jpg,11,Steel Cyclewear & Coffeeshop
80,Le Bichat,10ème,"design, tradi",Une cantine bio à petits prix,Midi & Soir,10.0,"11, rue Bichat",75010,0954276897,https://www.lespetitestables.com/wp-content/uploads/le-bichat-plat.jpg,10,Le Bichat
81,Centre Tout Naturellement,9ème,insolite,Un resto dans un centre de bien-être !,Midi,10.0,83 bis rue Lafayette,75009,0142857058,https://www.lespetitestables.com/wp-content/uploads/le-centre-tout-naturellement-les-petites-tables-formule.jpg,9,Centre Tout Naturellement
82,El Juanchito,11ème,"insolite, world",Aller simple pour la Colombie,Midi & Soir,9.9,69 rue de la Folie Regnault,75011,0148072629,https://www.lespetitestables.com/wp-content/uploads/el-juanchito-details-plat.jpg,11,El Juanchito
83,Le Pas Vu Pas Pris,9ème,"design, tradi",Le resto au menu secret !,Midi,10.0,4 rue Saulnier,75009,0980941319,https://www.lespetitestables.com/wp-content/uploads/IMG_0172-970x647.jpg,9,Le Pas Vu Pas Pris
84,Le Vin Qui Danse Gobelins,13ème,tradi,Un vrai menu bistronomique,Midi & Soir,10.0,69 rue Broca,75013,0143315277,https://www.lespetitestables.com/wp-content/uploads/vin-qui-danse-2016-equipe.jpg,13,Le Vin Qui Danse Gobelins
85,Pierre Sang,11ème,"design, tradi, world",Déjeuner de grand chef pour 7€,Midi,7.0,55 rue Oberkampf,75011,Na,https://www.lespetitestables.com/wp-content/uploads/pierre-sang-les-petites-tables7.jpg,11,Pierre Sang
86,Pizza Rossi,2ème,"fast-good, insolite",La plus grosse pizza de Paris,Midi & Soir,10.0,24 rue Blondel,75002,0953811670,https://www.lespetitestables.com/wp-content/uploads/pizza-rossi-duo.jpg,2,Pizza Rossi
87,Le Petit Olivier,6ème,"insolite, tradi",Un menu à 10 € dans un quartier chic !,Midi & Soir,10.0,82 rue du Cherche Midi,75006,Na,https://www.lespetitestables.com/wp-content/uploads/le-petit-olivier-salle.jpg,6,Le Petit Olivier
88,La Douzaine,9ème,tradi,Une vraie cabane à huîtres !,Midi,10.0,"12, rue Gérando",75009,0148744136,https://www.lespetitestables.com/wp-content/uploads/la-douzaine-devanture.jpg,9,La Douzaine
89,Mûre,2ème,design,Le coffee-shop qui vous téléporte à New York,Midi,10.9,6 rue Saint-Marc,75002,Na,https://www.lespetitestables.com/wp-content/uploads/mure-plat.jpg,2,Mûre
90,Le Bistro des Galopins,9ème,tradi,Un bon plan pour les radins !,Midi,9.9,"66, rue de clichy",75009,0173756158,https://www.lespetitestables.com/wp-content/uploads/le-bistro-des-galopins-menu.jpg,9,Le Bistro des Galopins
91,Chez Van,13ème,world,Un vrai festin chinois,Midi & Soir,10.0,65 Boulevard Saint-Marcel,75013,0143370597,https://www.lespetitestables.com/wp-content/uploads/chez-van-les-petites-tables-madame-Van.jpg,13,Chez Van
92,La Belle Ronde,14ème,"design, fast-good",Enfin une crêperie sexy,Midi & Soir,9.9,"19 rue Daguerre,",75014,0143202079,https://www.lespetitestables.com/wp-content/uploads/La-Belle-Ronde-salle-OK.jpg,14,La Belle Ronde
93,Inaro,10ème,"design, fast-good",Le plus beau bar-resto de Paris !,Midi,9.8,38 Rue René Boulanger,75010,0983079252,https://www.lespetitestables.com/wp-content/uploads/Inaro_repas_les_petites_tables.jpg,10,Inaro
94,Yak Kunga,3ème,"insolite, world",Le repaire qui réchauffe,Midi,9.9,15 boulevard du Temple,75003,0148878702,https://www.lespetitestables.com/wp-content/uploads/Yak-Kunga-soupe-970x646.jpg,3,Yak Kunga
95,Mandoobar,8ème,"design, world",Un Coréen design et confidentiel,Midi & Soir,10.0,"7, rue d’edimbourg",75008,0155060853,https://www.lespetitestables.com/wp-content/uploads/Mandoobar-Paris-Chef-Kim-Kwang-Loc--970x606.jpg,8,Mandoobar
96,Chez He,11ème,"insolite, world",Le resto - parc d'attraction,Midi,10.0,4 cité de l’Ameublement,75011,0153273361,https://www.lespetitestables.com/wp-content/uploads/Chez-He-salle-de-restaurant-970x646.jpg,11,Chez He
97,La Maison Issa,15ème,world,Le meilleur libanais de Paris,Midi & Soir,10.0,81 Rue Olivier de Serres,75015,0145312471,https://www.lespetitestables.com/wp-content/uploads/Maison-Issa-plat-les-petites-tables-970x646.jpg,15,La Maison Issa
98,La Cantine du dix-huit,18ème,"design, tradi",De la vraie cuisine de marché,Midi,10.0,46 rue Ramey,75018,0142512465,https://www.lespetitestables.com/wp-content/uploads/salle-la-cantine-du-18-970x646.jpg,18,La Cantine du dix-huit
99,Krishna Bhavan,10ème,world,Bombay sur Seine,Midi & Soir,11.0,"21 et 24, Rue Cail",75010,0142057843,https://www.lespetitestables.com/wp-content/uploads/IMG_1587-970x646.jpg,10,Krishna Bhavan
